,Accn,Super.Group,Organism_Taxonomic_ID,Organism.Name,SIN1,RICTOR,RAPTOR,TOR,LST8,Class.name,Phylum.name,Order.name,Family.name,Genus.name,Source,C.score,Frag.score,SIN1All,SIN1Domain,RICTORAll,RICTORDomain,RAPTORAll,RAPTORDomain,LST8All,LST8Domain,TORAll,TORDomain,M.Strategy
100,GCA_019968955.1,Alveolata,2853593,Porospora cf. gigantea A,NA,NA,NA,M,NA,Conoidasida,Apicomplexa,Eugregarinorida,Porosporidae,Porospora,NCBI,71.71,1.79,NA,NA,NA,NA,NA,NA,NA,NA,250.3,250.3,Parasite
101,GCA_023705535.2,Alveolata,5869,Babesia ovis,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,90.04,2.38,NA,NA,NA,NA,NA,NA,NA,NA,335.4,334.8,Parasite
102,GCA_023973825.1,Alveolata,5824,Plasmodium brasilianum,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,89.07,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
103,GCA_027243965.1,Alveolata,195482,Cryptosporidium canis,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,93.03,2.19,NA,NA,NA,NA,NA,NA,NA,NA,478.9,478.9,Parasite
104,GCA_028658345.1,Alveolata,323732,Babesia duncani,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,76.21,5.29,NA,NA,NA,NA,NA,NA,NA,NA,350.5,350.5,Parasite
105,GCA_030849525.1,Alveolata,33632,Babesia gibsoni,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,94.19,1.15,NA,NA,NA,NA,NA,NA,NA,NA,335.7,335.7,Parasite
106,GCA_031892065.1,Alveolata,2138604,Cryptosporidium sp. 43IA8,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,98.21,0.8,NA,NA,NA,NA,NA,NA,NA,NA,443.5,442.1,Parasite
107,GCA_037039495.1,Alveolata,659607,Cryptosporidium xiaoi,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,96.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,437.4,437.4,Parasite
108,GCA_900002335.2,Alveolata,31271,Plasmodium chabaudi chabaudi,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,99.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
109,GCA_900002375.2,Alveolata,5823,Plasmodium berghei ANKA,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,99.07,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
110,GCA_900002385.2,Alveolata,5861,Plasmodium yoelii,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,64.72,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
111,GCA_900005765.1,Alveolata,85471,Plasmodium relictum,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.82,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
112,GCA_900005855.1,Alveolata,5849,Plasmodium gallinaceum,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.46,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
113,GCA_900044335.1,Alveolata,5821,Plasmodium berghei,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.3,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
114,GCA_900088485.1,Alveolata,864142,Plasmodium ovale wallikeri,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,80.89,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
115,GCA_900088555.1,Alveolata,864141,Plasmodium ovale curtisi,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,84.02,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
116,GCA_900088575.1,Alveolata,5858,Plasmodium malariae,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,77.68,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
117,GCA_900090025.2,Alveolata,36330,Plasmodium ovale,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,88.3,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
118,GCA_900095565.1,Alveolata,5826,Plasmodium chabaudi adami,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.11,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
119,GCA_900095595.1,Alveolata,880534,Plasmodium sp. gorilla clade G1,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.63,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
120,GCA_900097015.1,Alveolata,880535,Plasmodium sp. gorilla clade G2,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.98,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
121,GCA_900097035.1,Alveolata,880536,Plasmodium sp. gorilla clade G3,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,97.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
122,GCA_900240055.1,Alveolata,720590,Plasmodium sp. DRC-Itaito,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.79,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
123,GCA_902459845.2,Alveolata,2600580,Hepatocystis sp. ex Piliocolobus tephrosceles,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Hepatocystis,NCBI,90.22,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
124,GCA_903994205.1,Alveolata,119398,Plasmodium vinckei brucechwatti,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,97.25,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
125,GCA_903994225.1,Alveolata,138297,Plasmodium vinckei lentum,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,97.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
126,GCA_903994265.1,Alveolata,5860,Plasmodium vinckei,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,96.62,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
127,GCA_905178155.1,Alveolata,2202890,Amoebophrya sp. A120,NA,NA,NA,M,NA,Dinophyceae,NA,Syndiniales,Amoebophryaceae,Amoebophrya,NCBI,95.32,0.58,NA,NA,NA,NA,NA,NA,NA,NA,297.2,296.8,Parasite
128,GCA_905182985.1,Alveolata,65129,Paramecium sonneborni,M,H,NA,H,H,Oligohymenophorea,Ciliophora,Peniculida,Parameciidae,Paramecium,NCBI,98.83,0.58,186.2,185.8,883.5,883.2,NA,NA,321.1,320.9,1187.2,1187,Heterotroph
129,GCA_905182995.1,Alveolata,43137,Paramecium octaurelia,M,H,NA,H,H,Oligohymenophorea,Ciliophora,Peniculida,Parameciidae,Paramecium,NCBI,96.49,1.75,203.2,202.8,887.6,887.3,NA,NA,319.4,319.2,1183.9,1183.6,Heterotroph
130,GCA_905183005.1,Alveolata,43138,Paramecium pentaurelia,M,H,NA,H,H,Oligohymenophorea,Ciliophora,Peniculida,Parameciidae,Paramecium,NCBI,98.25,1.17,190.4,189.9,889.8,889.6,NA,NA,318.6,318.4,1177.8,1177.5,Heterotroph
131,GCA_905221605.1,Alveolata,878477,Symbiodinium natans,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,69.59,12.28,NA,NA,NA,NA,NA,NA,152.4,110.3,425.9,425.6,Endosymbiotic
132,GCA_905221615.1,Alveolata,631055,Symbiodinium sp. CCMP2592,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,75.44,11.11,NA,NA,NA,NA,NA,NA,130.4,123,425.5,423.4,Endosymbiotic
133,GCA_905221625.1,Alveolata,230985,Symbiodinium sp. KB8,NA,NA,NA,H,H,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,91.23,4.09,NA,NA,NA,NA,NA,NA,373,372.7,777.2,776.9,Endosymbiotic
134,GCA_905221635.1,Alveolata,1519616,Symbiodinium sp. CCMP2456,NA,NA,NA,H,NA,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,70.18,11.7,NA,NA,NA,NA,NA,NA,NA,NA,369,368.8,Endosymbiotic
135,GCA_905231905.1,Alveolata,2952,Symbiodinium pilosum,NA,NA,NA,NA,NA,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,54.97,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Endosymbiotic
136,GCA_905231915.1,Alveolata,1628268,Symbiodinium necroappetens,NA,NA,NA,NA,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,NCBI,63.16,15.79,NA,NA,NA,NA,NA,NA,150.3,106.6,NA,NA,Endosymbiotic
137,GCA_914767885.1,Alveolata,1481888,Blepharisma stoltei,NA,H,NA,H,M,Heterotrichea,Ciliophora,Heterotrichida,Blepharismidae,Blepharisma,NCBI,95.91,2.92,NA,NA,621.4,617.1,NA,NA,279.2,279,1128.5,1128.2,Heterotroph
138,GCA_946863485.1,Alveolata,5936,Moneuplotes crassus,NA,NA,NA,H,M,Spirotrichea,Ciliophora,Euplotida,Euplotidae,Moneuplotes,NCBI,91.81,1.17,NA,NA,NA,NA,NA,NA,247.6,247.4,402.4,402.4,Heterotroph
139,GCA_963969995.1,Alveolata,1381693,Durusdinium trenchii,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Durusdinium,NCBI,83.63,5.85,NA,NA,NA,NA,NA,NA,302.2,126.3,581.6,581.4,Endosymbiotic
140,Coprin2167,Chlorophyta,574566,Coccomyxa subellipsoidea C-169,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,NA,NA,Coccomyxa,JGI,95.4,1,NA,NA,NA,NA,1000.5,1000.1,450.4,450.2,1676.3,1676.1,Autotrophic
141,Apalob2145,Chlorophyta,904363,Apatococcus lobatus,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Apatococcus,JGI,95.1,0.5,NA,NA,NA,NA,1234.4,1234,436,435.7,1599.7,1599.5,Autotrophic
142,Myrbis2043,Chlorophyta,41462,[Myrmecia] bisecta,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Trebouxiales,Trebouxiaceae,Myrmecia,JGI,96.8,1,NA,NA,NA,NA,1317.9,1317.5,461,460.7,1077.6,1077.3,Autotrophic
143,Ellbil24580,Chlorophyta,381761,Elliptochloris bilobata,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,NA,NA,Elliptochloris,JGI,93.5,1.1,NA,NA,NA,NA,1219.4,1219,462.5,462.2,1699.6,1699.4,Autotrophic
144,DesarSE107,Chlorophyta,375941,Desmodesmus armatus,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Scenedesmaceae,Desmodesmus,JGI,93.1,1.7,NA,NA,NA,NA,1173.4,1172.8,466.3,466,1542.6,1541.9,Autotrophic
145,TrebouA12,Chlorophyta,2608996,Trebouxia sp. A1-2,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Trebouxiales,Trebouxiaceae,Trebouxia,JGI,85.5,1.7,NA,NA,NA,NA,1109.7,741.3,455.1,454.9,1014.6,1014.2,Autotrophic
146,Limspi1,Chlorophyta,2954232,Limnomonas spitsbergensis,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,NA,Limnomonas,JGI,92.2,0.6,NA,NA,NA,NA,1275.1,1274.7,458,457.7,1612.2,1612,Autotrophic
147,Tetso1,Chlorophyta,47790,Tetrabaena socialis,NA,NA,H,M,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Tetrabaenaceae,Tetrabaena,JGI,58.2,18.2,NA,NA,NA,NA,1215.1,1214.4,458.5,458.2,170,169.7,Autotrophic
148,Chrzof2,Chlorophyta,31302,Chromochloris zofingiensis,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Chromochloridaceae,Chromochloris,JGI,98.9,0.5,NA,NA,NA,NA,1271.6,1271.2,460,459.8,1673,1672.8,Autotrophic
149,ScespWC1,Chlorophyta,3087,Scenedesmus,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Scenedesmaceae,Scenedesmus,JGI,96.6,0.6,NA,NA,NA,NA,1239.3,1239,469.2,468.9,925.6,925.2,Autotrophic
150,Haeplu1,Chlorophyta,44745,Haematococcus lacustris,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Haematococcaceae,Haematococcus,JGI,96.4,1.2,NA,NA,NA,NA,274.3,221,457.2,456.8,385.6,385.4,Autotrophic
151,Volre3786,Chlorophyta,1737510,Volvox reticuliferus,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Volvocaceae,Volvox,JGI,90.4,0.7,NA,NA,NA,NA,1257.6,1257.2,455.8,455.5,1667,1666.7,Autotrophic
152,Volafr1,Chlorophyta,51714,Volvox africanus,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Volvocaceae,Volvox,JGI,89,0.9,NA,NA,NA,NA,1242.9,1242.4,455.6,455.3,1682.7,1682.4,Autotrophic
153,ChloDOE1412,Chlorophyta,3076,Chlorella sorokiniana,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,JGI,91.1,0.7,NA,NA,NA,NA,1214.4,1214,471.3,471.1,1625.5,1625.2,Autotrophic
154,Chloso1230,Chlorophyta,3071,Chlorella,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,JGI,96.8,0.7,NA,NA,NA,NA,979.7,878.2,457.8,457.5,1577.3,1576.9,Autotrophic
155,Micco1,Chlorophyta,554055,Micractinium conductrix,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Micractinium,JGI,95,0.7,NA,NA,NA,NA,1204.5,1204.1,472,471.7,1604.7,1604.4,Autotrophic
156,Auxpr25,Chlorophyta,3075,Auxenochlorella protothecoides,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Auxenochlorella,JGI,88.4,2.8,NA,NA,NA,NA,1042.2,739.5,456.8,456.5,1562.4,1562.1,Autotrophic
157,Chleu1,Chlorophyta,1157962,Chlamydomonas eustigma,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,JGI,97,0.6,NA,NA,NA,NA,1294,1293.6,457.5,457.3,1621.4,1621.1,Autotrophic
158,Trebou978,Chlorophyta,75966,Trebouxiophyceae,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,NA,NA,NA,JGI,91.6,0.5,NA,NA,NA,NA,1249.6,1249.1,449.5,449.2,1630.1,1629.8,Autotrophic
159,Trebou4402,Chlorophyta,2941158,Chlorellaceae sp.,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,NA,JGI,88,2.2,NA,NA,NA,NA,1137.8,1137.4,416,415.7,1302.2,1302,Autotrophic
160,Chlremi1,Chlorophyta,2069334,Chloromonas remiasii,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,JGI,92.8,1.8,NA,NA,NA,NA,1208.6,1208.2,376.7,376.4,1632.6,1632.3,Autotrophic
161,Rapsub1,Chlorophyta,307507,Raphidocelis subcapitata,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Selenastraceae,Raphidocelis,JGI,95.9,1.2,NA,NA,NA,NA,1182.2,1177.5,456.4,456.2,1333.9,1333.7,Autotrophic
162,Botrbrau1,Chlorophyta,1202541,Botryococcus braunii Showa,NA,NA,H,H,M,Trebouxiophyceae,Chlorophyta,NA,NA,Botryococcus,JGI,81.7,5.9,NA,NA,NA,NA,865.8,547.3,246.5,246.3,1137.7,1137.5,Autotrophic
163,Astgub1,Chlorophyta,47775,Astrephomene gubernaculifera,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Astrephomenaceae,Astrephomene,JGI,83,3.4,NA,NA,NA,NA,907.2,906.8,460.1,459.8,1203.6,1203.2,Autotrophic
164,Ostque1,Chlorophyta,121088,Ostreobium quekettii,NA,NA,H,H,H,Ulvophyceae,Chlorophyta,Bryopsidales,Ostreobiaceae,Ostreobium,JGI,64.4,2.8,NA,NA,NA,NA,1118,1117.6,404,403.8,1312.6,1312.3,Autotrophic
165,Nandes2526,Chlorophyta,1650286,Chlorella desiccata (nom. nud.),NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,JGI,96.1,0.4,NA,NA,NA,NA,1242.7,1242.2,450.4,450.1,1620.9,1620.6,Autotrophic
166,Heli50920,Chlorophyta,1291522,Helicosporidium sp. ATCC 50920,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Helicosporidium,JGI,61.8,13.8,NA,NA,NA,NA,460.4,460.1,419.2,409.8,1091,1084.9,Autotrophic
167,Pedmin1,Chlorophyta,3159,Pedinomonas minor,NA,NA,H,H,H,Pedinophyceae,Chlorophyta,Pedinomonadales,Pedinomonadaceae,Pedinomonas,JGI,89.5,1.8,NA,NA,NA,NA,1223.6,1223.2,469.7,469.5,1619.9,1619.6,Autotrophic
168,PedYPF701,Chlorophyta,765719,Pedinophyceae sp. YPF-701,NA,NA,H,H,H,Pedinophyceae,Chlorophyta,NA,NA,NA,JGI,86.6,0.8,NA,NA,NA,NA,1189,1188.6,461.5,461.3,1573.3,1573.1,Autotrophic
169,MicrYARC1,Chlorophyta,2904290,Microglena sp. YARC,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Microglena,JGI,82.7,5.5,NA,NA,NA,NA,1312.6,1312.2,460.9,460.6,798.8,798.1,Autotrophic
170,MicrAD1,Chlorophyta,38832,Micromonas,NA,NA,H,H,M,Mamiellophyceae,Chlorophyta,Mamiellales,Mamiellaceae,Micromonas,JGI,92.8,0.9,NA,NA,NA,NA,1207.2,1203.3,179.4,179.3,1495.8,1494.2,Autotrophic
171,ChlUWO241,Chlorophyta,1653778,Chlamydomonas sp. UWO 241,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,JGI,82.2,2.5,NA,NA,NA,NA,1292.2,1291.8,455.7,455.5,1631.9,1631.6,Autotrophic
172,Monmin1,Chlorophyta,39955,Monoraphidium minutum,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,JGI,96.4,0.9,NA,NA,NA,NA,1181.3,1180.9,457,456.7,938.4,938.2,Autotrophic
173,TetrdesSNI2,Chlorophyta,2780016,Tetradesmus deserticola,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Scenedesmaceae,Tetradesmus,JGI,96.4,1,NA,NA,NA,NA,1122.8,1122.5,436.1,435.9,1358.3,1357.9,Autotrophic
174,Flerot1,Chlorophyta,269715,Flechtneria rotunda,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Scenedesmaceae,Flechtneria,JGI,98.6,0.3,NA,NA,NA,NA,1229.9,1229.5,468.3,468,1597.5,1597.2,Autotrophic
175,Enacos1,Chlorophyta,113528,Enallax costatus,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Scenedesmaceae,Enallax,JGI,98.4,0.5,NA,NA,NA,NA,1242.9,1242.4,469.7,469.4,1603,1601.2,Autotrophic
176,Chlsc1,Chlorophyta,2026947,Chlamydomonas schloesseri,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,JGI,97.8,0.8,NA,NA,NA,NA,1214.7,1214.3,455.9,455.7,1693.7,1693.4,Autotrophic
177,Pico,Chlorophyta,2320818,Picocystis sp. ML,NA,NA,NA,M,NA,Picocystophyceae,Chlorophyta,Picocystales,Picocystaceae,Picocystis,JGI,32.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Autotrophic
178,Chlin1,Chlorophyta,51695,Chlamydomonas incerta,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,JGI,95.9,2,NA,NA,NA,NA,1131.1,1130.8,455.9,455.7,1693.7,1693.4,Autotrophic
179,Edade1,Chlorophyta,47281,Edaphochlamys debaryana,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,NA,Edaphochlamys,JGI,96.8,1.4,NA,NA,NA,NA,1224.2,1223.7,458.9,458.6,1550.6,1550.5,Autotrophic
180,Picre1,Chlorophyta,2601844,Picochlorum sp. BH-2019,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,NA,NA,Picochlorum,JGI,67.3,11.3,NA,NA,NA,NA,1108.5,1106.9,308.7,308.6,914.9,914.6,Autotrophic
181,Picsp,Chlorophyta,2053932,Picochlorum sp. 'soloecismus',NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,NA,NA,Picochlorum,JGI,87,0.8,NA,NA,NA,NA,1169,1168.5,449.8,449.6,1558.3,1558,Autotrophic
182,ChloA99,Chlorophyta,2041167,Chlorella sp. A99,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,JGI,90.1,2.4,NA,NA,NA,NA,837.3,331.7,303.4,303.1,1589.8,1589.5,Autotrophic
183,Tetstr1,Chlorophyta,3165,Tetraselmis striata,NA,NA,H,H,H,Chlorodendrophyceae,Chlorophyta,Chlorodendrales,Chlorodendraceae,Tetraselmis,JGI,93.2,1.1,NA,NA,NA,NA,1206.1,1205.6,473.9,473.6,1762.3,1762,Autotrophic
184,Caulen1,Chlorophyta,148947,Caulerpa lentillifera,NA,NA,H,H,H,Ulvophyceae,Chlorophyta,Bryopsidales,Caulerpaceae,Caulerpa,JGI,75,2.3,NA,NA,NA,NA,973.4,973,379,378.9,1151.2,1150.9,Autotrophic
185,Volca2,Chlorophyta,3067,Volvox carteri,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Volvocaceae,Volvox,JGI,95.4,1,NA,NA,NA,NA,1248.1,1247.6,458.1,457.8,1707.2,1706.9,Autotrophic
186,SymretSc1,Chlorophyta,40981,Symbiochloris reticulata,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Trebouxiales,Trebouxiaceae,Symbiochloris,JGI,96.3,0.5,NA,NA,NA,NA,1223.9,1223.6,439.4,439.2,1512.1,1511.8,Autotrophic
187,Ostta4221,Chlorophyta,70448,Ostreococcus tauri,NA,NA,H,H,H,Mamiellophyceae,Chlorophyta,Mamiellales,Bathycoccaceae,Ostreococcus,JGI,98.3,0.4,NA,NA,NA,NA,1283.9,1283.5,437.2,437,1444.3,1444,Autotrophic
188,Astpho2,Chlorophyta,763042,Asterochloris sp. Cgr/DA1pho,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Trebouxiales,Trebouxiaceae,Asterochloris,JGI,92.4,2,NA,NA,NA,NA,1237.1,1234.6,451.2,450.9,1617.1,1605.7,Autotrophic
189,Gonpec1,Chlorophyta,33097,Gonium pectorale,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Volvocaceae,Gonium,JGI,91.6,5,NA,NA,NA,NA,1209.7,1209.1,455.5,455.3,954,596.3,Autotrophic
190,Monneg1,Chlorophyta,145388,Monoraphidium neglectum,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Sphaeropleales,Selenastraceae,Monoraphidium,JGI,73.1,18.2,NA,NA,NA,NA,821.8,821.2,456,455.7,579.8,579.5,Autotrophic
191,Batpra1,Chlorophyta,1075084,Bathycoccus prasinos RCC1105,NA,NA,H,H,H,Mamiellophyceae,Chlorophyta,Mamiellales,Bathycoccaceae,Bathycoccus,JGI,96.5,0.9,NA,NA,NA,NA,1204.6,1204.6,425.9,425.6,1502.1,1501.3,Autotrophic
192,Ulvmu1,Chlorophyta,498180,Ulva mutabilis,NA,NA,H,H,H,Ulvophyceae,Chlorophyta,Ulvales,Ulvaceae,Ulva,JGI,87.3,0.9,NA,NA,NA,NA,1023.9,1023.5,417.7,417.5,1205.3,1205,Autotrophic
193,Dunsal1,Chlorophyta,3046,Dunaliella salina,NA,NA,M,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Dunaliellaceae,Dunaliella,JGI,81.8,7,NA,NA,NA,NA,669.9,298.7,451.7,451.5,915.9,797.2,Autotrophic
194,GCA_000090985.2,Chlorophyta,296587,Micromonas commoda,NA,NA,H,H,H,Mamiellophyceae,Chlorophyta,Mamiellales,Mamiellaceae,Micromonas,NCBI,98.03,0.99,NA,NA,NA,NA,1321.4,1320.9,454.3,454.1,1600.2,1600,Autotrophic
195,GCA_000092065.1,Chlorophyta,436017,Ostreococcus lucimarinus CCE9901,NA,NA,H,H,H,Mamiellophyceae,Chlorophyta,Mamiellales,Bathycoccaceae,Ostreococcus,NCBI,97.37,1.38,NA,NA,NA,NA,1277.8,1277.6,438.9,438.6,1441.1,1440.8,Autotrophic
196,GCA_000143455.1,Chlorophyta,3068,Volvox carteri f. nagariensis,NA,NA,H,H,H,Chlorophyceae,Chlorophyta,Chlamydomonadales,Volvocaceae,Volvox,NCBI,96.58,1.12,NA,NA,NA,NA,676.1,675.8,458.1,457.8,1671,1670.7,Autotrophic
197,GCA_000147415.1,Chlorophyta,554065,Chlorella variabilis,NA,NA,H,H,H,Trebouxiophyceae,Chlorophyta,Chlorellales,Chlorellaceae,Chlorella,NCBI,92.36,3.09,NA,NA,NA,NA,1188.7,1188.4,472.1,471.8,664.2,479.7,Autotrophic
