tar,seq_length,Analysis,sig_acc,sig_desc,start,stop,e_value,All_Domains
KAH7468701.1,708,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",203,279,3.6e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4123888.1,708,Pfam,PF00168,C2 domain,106,160,3000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4123888.1,708,Pfam,PF00168,C2 domain,24,77,2000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4123888.1,708,Pfam,PF00069,Protein kinase domain,368,637,3.7e-55,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4123888.1,708,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",203,279,3.6e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4168450.1,708,Pfam,PF00168,C2 domain,106,160,3000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4168450.1,708,Pfam,PF00168,C2 domain,24,77,2000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4168450.1,708,Pfam,PF00069,Protein kinase domain,368,637,3.7e-55,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAL4168450.1,708,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",203,279,3.6e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
RAW38761.1,713,Pfam,PF00168,C2 domain,31,84,130,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
RAW38761.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
RAW38761.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
RAW38761.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
CAI5740127.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
CAI5740127.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
CAI5740127.1,878,Pfam,PF22749,Arb2 domain,22,222,1.3e-18,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
CAI5740127.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
EEY53149.1,883,Pfam,PF00168,C2 domain,285,380,1.2e-8,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
EEY53149.1,883,Pfam,PF01363,FYVE zinc finger,436,485,0.0026,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
EEY53149.1,883,Pfam,PF22749,Arb2 domain,11,220,5.4e-20,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
EEY53149.1,883,Pfam,PF00069,Protein kinase domain,541,808,1.2e-66,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
RQM17649.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
RQM17649.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
RQM17649.1,878,Pfam,PF22749,Arb2 domain,22,222,2.4e-18,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
RQM17649.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"C2 domain, FYVE zinc finger, Arb2 domain, Protein kinase domain"
KAE9047933.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9047933.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9047933.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9047933.1,882,Pfam,PF22749,Arb2 domain,12,221,4.9e-21,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9052290.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9052290.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9052290.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9052290.1,882,Pfam,PF22749,Arb2 domain,12,221,4.9e-21,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9147976.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9147976.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9147976.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAE9147976.1,882,Pfam,PF22749,Arb2 domain,12,221,1.7e-21,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL0591393.1,876,Pfam,PF00168,C2 domain,253,348,7.2e-6,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL0591393.1,876,Pfam,PF01363,FYVE zinc finger,416,469,0.0024,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL0591393.1,876,Pfam,PF00069,Protein kinase domain,540,809,2.3e-68,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL0591393.1,876,Pfam,PF22749,Arb2 domain,6,188,1.5e-17,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL4161283.1,880,Pfam,PF00168,C2 domain,287,382,8.8e-9,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL4161283.1,880,Pfam,PF01363,FYVE zinc finger,434,483,0.0019,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL4161283.1,880,Pfam,PF00069,Protein kinase domain,538,804,4.4e-66,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL4161283.1,880,Pfam,PF22749,Arb2 domain,11,222,1.2e-20,"C2 domain, FYVE zinc finger, Protein kinase domain, Arb2 domain"
KAL3613000.1,745,Pfam,PF00168,C2 domain,189,283,2.1e-23,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
KAL3613000.1,745,Pfam,PF00433,Protein kinase C terminal domain,667,694,110,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
KAL3613000.1,745,Pfam,PF00433,Protein kinase C terminal domain,698,725,110,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
KAL3613000.1,745,Pfam,PF00433,Protein kinase C terminal domain,622,663,1.1e-8,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
KAL3613000.1,745,Pfam,PF00069,Protein kinase domain,345,599,6.8e-64,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
KAL3613000.1,745,Pfam,PF21788,"TNP-like, GTP-binding insertion domain",56,175,1.9e-13,"C2 domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase C terminal domain, Protein kinase domain, TNP-like, GTP-binding insertion domain"
CAI5709637.1,882,Pfam,PF00168,C2 domain,287,381,1.9e-7,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5709637.1,882,Pfam,PF00069,Protein kinase domain,540,807,1.3e-66,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5709637.1,882,Pfam,PF22749,Arb2 domain,22,222,6.5e-20,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5709637.1,882,Pfam,PF01363,FYVE zinc finger,435,486,3.1e-4,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5747265.1,877,Pfam,PF00168,C2 domain,287,382,6.5e-8,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5747265.1,877,Pfam,PF00069,Protein kinase domain,539,805,6e-66,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5747265.1,877,Pfam,PF22749,Arb2 domain,22,222,2e-16,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
CAI5747265.1,877,Pfam,PF01363,FYVE zinc finger,435,485,0.0028,"C2 domain, Protein kinase domain, Arb2 domain, FYVE zinc finger"
KAF1791553.1,912,Pfam,PF00168,C2 domain,11,64,190,"C2 domain, Protein kinase domain, COPI associated protein, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein tyrosine and serine/threonine kinase"
KAF1791553.1,912,Pfam,PF00069,Protein kinase domain,353,473,1.5e-15,"C2 domain, Protein kinase domain, COPI associated protein, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein tyrosine and serine/threonine kinase"
KAF1791553.1,912,Pfam,PF08507,COPI associated protein,728,840,3.5e-8,"C2 domain, Protein kinase domain, COPI associated protein, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein tyrosine and serine/threonine kinase"
KAF1791553.1,912,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",189,266,4.1e-9,"C2 domain, Protein kinase domain, COPI associated protein, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein tyrosine and serine/threonine kinase"
KAF1791553.1,912,Pfam,PF07714,Protein tyrosine and serine/threonine kinase,480,567,0.1,"C2 domain, Protein kinase domain, COPI associated protein, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein tyrosine and serine/threonine kinase"
GLD95891.1,712,Pfam,PF00168,C2 domain,35,88,220,"C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
GLD95891.1,712,Pfam,PF00069,Protein kinase domain,375,631,2.9999999999999994e-56,"C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
GLD95891.1,712,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",212,290,5.9e-9,"C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
ETI47029.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47029.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47029.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47029.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47030.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47030.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47030.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETI47030.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETK86957.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETK86957.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETK86957.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETK86957.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL40372.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL40372.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL40372.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL40372.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93523.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93523.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93523.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93523.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93524.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93524.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93524.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETL93524.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46784.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46784.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46784.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46784.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46785.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46785.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46785.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETM46785.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETN08919.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETN08919.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETN08919.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETN08919.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETO75753.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETO75753.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETO75753.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETO75753.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44877.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44877.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44877.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44877.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44878.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44878.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44878.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
ETP44878.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KAG1692370.1,885,Pfam,PF00168,C2 domain,286,381,2.5e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KAG1692370.1,885,Pfam,PF00069,Protein kinase domain,543,810,5.999999999999999e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KAG1692370.1,885,Pfam,PF01363,FYVE zinc finger,438,487,0.003,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KAG1692370.1,885,Pfam,PF22749,Arb2 domain,12,221,8.9e-22,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KUG01351.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KUG01351.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KUG01351.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KUG01351.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"C2 domain, Protein kinase domain, FYVE zinc finger, Arb2 domain"
KAG3110857.1,500,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,1.8e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3110857.1,500,Pfam,PF00168,C2 domain,113,167,1700,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3110857.1,500,Pfam,PF00168,C2 domain,31,84,82,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3156054.1,500,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,1.8e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3156054.1,500,Pfam,PF00168,C2 domain,113,167,1700,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3156054.1,500,Pfam,PF00168,C2 domain,31,84,82,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3194014.1,500,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,1.8e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3194014.1,500,Pfam,PF00168,C2 domain,113,167,1700,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3194014.1,500,Pfam,PF00168,C2 domain,31,84,82,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3245299.1,486,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,1.7e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3245299.1,486,Pfam,PF00168,C2 domain,113,167,1700,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
KAG3245299.1,486,Pfam,PF00168,C2 domain,31,84,79,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain"
EGZ10650.1,715,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
EGZ10650.1,715,Pfam,PF00168,C2 domain,31,84,160,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
EGZ10650.1,715,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
EGZ10650.1,715,Pfam,PF00069,Protein kinase domain,375,644,4.699999999999999e-55,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETI31649.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETI31649.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETI31649.1,713,Pfam,PF00168,C2 domain,31,84,370,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETI31649.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETL25468.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETL25468.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETL25468.1,713,Pfam,PF00168,C2 domain,31,84,370,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETL25468.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETP01465.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETP01465.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETP01465.1,713,Pfam,PF00168,C2 domain,31,84,370,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
ETP01465.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2787355.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2787355.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2787355.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2787355.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2828238.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2828238.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2828238.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2828238.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2829057.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2829057.1,713,Pfam,PF00168,C2 domain,31,84,130,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2829057.1,713,Pfam,PF00168,C2 domain,113,167,2800,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2829057.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
KAG2986744.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), C2 domain, C2 domain, Protein kinase domain"
